T;Y 
<<<<<<< HEAD
1.000000;0.000000 
1.015000;-0.027369 
1.030000;-0.056484 
1.045000;-0.078177 
1.060000;-0.456185 
1.075000;-0.369196 
1.090000;0.016076 
1.105000;1.229230 
1.120000;2.952777 
1.135000;5.243325 
1.150000;7.157450 
1.165000;8.946811 
1.180000;10.653832 
1.195000;12.148162 
1.210000;13.284128 
1.225000;14.756991 
1.240000;16.114325 
1.255000;17.459782 
1.270000;18.842196 
1.285000;20.193380 
1.300000;22.187439 
1.315000;24.276817 
1.330000;26.393864 
1.345000;28.511341 
1.360000;31.085325 
1.375000;33.589825 
1.390000;36.251339 
1.405000;39.115097 
1.420000;44.724957 
1.435000;50.383366 
1.450000;56.092358 
1.465000;61.554768 
1.480000;66.764374 
1.495000;72.594093 
1.510000;78.285179 
1.525000;83.268326 
1.540000;88.228874 
1.555000;93.474915 
1.570000;100.057671 
1.585000;106.501961 
1.600000;113.080070 
1.615000;118.581032 
1.630000;121.744408 
1.645000;124.955406 
1.660000;129.918335 
1.675000;132.952698 
1.690000;137.271103 
1.705000;141.144485 
1.720000;145.539032 
1.735000;149.755646 
1.750000;153.338196 
1.765000;157.167526 
1.780000;159.018463 
1.795000;163.534164 
1.810000;169.070648 
1.825000;174.479645 
1.840000;179.544724 
1.855000;183.946777 
1.870000;187.967712 
1.885000;191.813400 
1.900000;196.640045 
1.915000;202.895325 
1.930000;206.717026 
1.945000;210.379944 
1.960000;214.735886 
1.975000;219.836182 
1.990000;224.752899 
2.005000;229.590912 
2.020000;234.478226 
2.035000;239.356033 
2.050000;244.553070 
2.065000;250.831665 
2.080000;255.330597 
2.095000;258.010498 
2.110000;262.676178 
2.125000;268.275116 
2.140000;273.634888 
2.155000;279.646088 
2.170000;282.608459 
2.185000;289.692139 
2.200000;298.306671 
2.215000;305.568390 
2.230000;309.338562 
2.245000;309.515869 
2.260000;308.801483 
2.275000;308.996857 
2.290000;309.111328 
2.305000;308.970795 
2.320000;308.809692 
2.335000;307.626892 
2.350000;308.378662 
2.365000;308.331451 
2.380000;306.022797 
2.395000;301.268036 
2.410000;294.145599 
2.425000;279.517151 
2.440000;256.837097 
2.455000;236.881149 
2.470000;217.382141 
2.485000;198.464050 
2.500000;182.654907 
2.515000;165.129974 
2.530000;149.234116 
2.545000;133.008911 
2.560000;120.710747 
2.575000;112.533989 
2.590000;104.815498 
2.605000;98.651978 
2.620000;90.180626 
2.635000;79.165703 
2.650000;71.001595 
2.665000;63.066013 
2.680000;50.713791 
2.695000;40.192326 
2.710000;28.671986 
2.725000;18.090797 
2.740000;2.016833 
2.755000;-9.964563 
=======
1.000000;681809346560.000000 
11.000000;2045427974144.000000 
21.000000;4090855948288.000000 
31.000000;6818093334528.000000 
41.000000;10227140263936.000000 
51.000000;14317995950080.000000 
61.000000;19090661965824.000000 
71.000000;24545136214016.000000 
81.000000;30681419743232.000000 
91.000000;37499514650624.000000 
101.000000;44999416741888.000000 
111.000000;53181128114176.000000 
121.000000;62044648767488.000000 
131.000000;71589982896128.000000 
141.000000;81817122111488.000000 
151.000000;92726070607872.000000 
161.000000;104316828385280.000000 
171.000000;116589395443712.000000 
181.000000;129543771783168.000000 
191.000000;143179965792256.000000 
201.000000;157497960693760.000000 
211.000000;172497764876288.000000 
221.000000;188179378339840.000000 
231.000000;204542801084416.000000 
241.000000;221588033110016.000000 
251.000000;239315074416640.000000 
261.000000;257723925004288.000000 
271.000000;276814584872960.000000 
281.000000;296587054022656.000000 
291.000000;317041332453376.000000 
301.000000;338177436942336.000000 
311.000000;359995333935104.000000 
321.000000;382495023431680.000000 
331.000000;405676572540928.000000 
341.000000;429539880599552.000000 
351.000000;454085014716416.000000 
361.000000;479311974891520.000000 
371.000000;505220727570432.000000 
381.000000;531811272753152.000000 
391.000000;559083643994112.000000 
401.000000;587037807738880.000000 
411.000000;615673831096320.000000 
421.000000;644991613403136.000000 
431.000000;674991221768192.000000 
441.000000;705672656191488.000000 
451.000000;737035916673024.000000 
461.000000;769080936103936.000000 
471.000000;801807781593088.000000 
481.000000;835216453140480.000000 
491.000000;869306883637248.000000 
501.000000;904079207301120.000000 
511.000000;939533289914368.000000 
521.000000;975669131476992.000000 
531.000000;1012486866206720.000000 
541.000000;1049986359885824.000000 
551.000000;1088167679623168.000000 
561.000000;1127030825418752.000000 
571.000000;1166575797272576.000000 
581.000000;1206802595184640.000000 
591.000000;1247711084937216.000000 
601.000000;1289301400748032.000000 
611.000000;1331573676834816.000000 
621.000000;1374527644762112.000000 
631.000000;1418163438747648.000000 
641.000000;1462481058791424.000000 
651.000000;1507480504893440.000000 
661.000000;1553161642835968.000000 
671.000000;1599524741054464.000000 
681.000000;1646569531113472.000000 
691.000000;1694296147230720.000000 
701.000000;1742704723623936.000000 
711.000000;1791794991857664.000000 
721.000000;1841567086149632.000000 
731.000000;1892020872282112.000000 
741.000000;1943156618690560.000000 
751.000000;1994974191157248.000000 
761.000000;2047473455464448.000000 
771.000000;2100654545829888.000000 
781.000000;2154517462253568.000000 
791.000000;2209062204735488.000000 
801.000000;2264288773275648.000000 
811.000000;2320197167874048.000000 
821.000000;2376787388530688.000000 
831.000000;2434059435245568.000000 
841.000000;2492013039583232.000000 
851.000000;2550648738414592.000000 
861.000000;2609966263304192.000000 
871.000000;2669965345816576.000000 
881.000000;2730646522822656.000000 
891.000000;2792009257451520.000000 
901.000000;2854053818138624.000000 
911.000000;2916780473319424.000000 
921.000000;2980188686123008.000000 
931.000000;3044278724984832.000000 
941.000000;3109050589904896.000000 
951.000000;3174504280883200.000000 
961.000000;3240639797919744.000000 
971.000000;3307457141014528.000000 
981.000000;3374956310167552.000000 
991.000000;3443137036943360.000000 
>>>>>>> master
